Sequence ID,Predicted label,Final_Confidence_Score,Predicted_Code,Predicted_Path_Codes
Copia-34_TC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35-LTR_VV,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_ATr-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_BG-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_CQ-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHATN6,hAT,N/A,2.1.1.2,"2,2.1,2.1.1,2.1.1.2"
Copia-35_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-35_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36-I_ZM,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_ATr-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_BG-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_CQ-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA-1_SBi-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-36_Mad-LTR,SubclassI,N/A,2.1,"2,2.1"
Copia-36_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-36_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_BD-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_DPu-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_GM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_Mad-LTR__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Academ-2_CGi,SubclassI,N/A,2.1,"2,2.1"
ATHILA-4_SBi-I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-37_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-37_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-38_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-38_BD-LTR,SubclassI,N/A,2.1,"2,2.1"
Copia-38_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-38_DPu-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-38_GM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-38_Mad-LTR__2,SubclassI,N/A,2.1,"2,2.1"
Copia-38_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA-6_SBi-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-38_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-38_TC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39-LTR_ZM,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_ATr-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_BRa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_DPu-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_GM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_Mad-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_Pru-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-39_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA2_LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-39_TC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_AA-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-3_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_AT-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_BRa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_Cfl-I,RTE,N/A,1.4.2,"1,1.4,1.4.2"
Copia-3_CP-I__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_CQ-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_DAn-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA4B_LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-3_DGri-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-3_DWil-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_EPa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_FV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_HAE-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_LBS-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_LU-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_PD-I,LINE,N/A,1.4,"1,1.4"
Copia-3_PPa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA4_LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-3_PR-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_PSo-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_PTc-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-3_RC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_SI-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_SMo-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-3_TMe-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4-LTR_NV,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_ATr-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA6B_I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-40_BRa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_ECa-LTR,SubclassI,N/A,2.1,"2,2.1"
Copia-40_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-40_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_BD-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA7_I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_FV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_PIT-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_RC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-41_ZM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_ATr-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_BG-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_ECa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_GM-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHILA_I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-42_MLP-I,DIRS,N/A,1.2,"1,1.2"
Copia-42_Pru-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-42_VV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_ALY-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_BRa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_MLP-LTR,tRNA,N/A,1.5.1,"1,1.5,1.5.1"
Copia-43_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATHPOGON1,Tc1-Mariner,N/A,2.1.1.1,"2,2.1,2.1.1,2.1.1.1"
Copia-43_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-43_ZM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_ALY-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_BRa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_ECa-LTR,DIRS,N/A,1.2,"1,1.2"
Copia-44_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-44_ZM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATLANTYS-LTR_OS,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-45_ATr-I,SubclassI,N/A,2.1,"2,2.1"
Copia-45_CCri-I,DIRS,N/A,1.2,"1,1.2"
Copia-45_FV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-45_Mad-I__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-45_Pru-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-45_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-45_VV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_ALY-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_BRa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_ECa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Academ-2_PM,SubclassI,N/A,2.1,"2,2.1"
ATLANTYS3I,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-46_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_PIT-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_RC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-46_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-47_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-47_BG-LTR,SubclassI,N/A,2.1,"2,2.1"
Copia-47_ECa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-47_JC-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-47_PIT-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-47_RC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATLINE1_1,L1,N/A,1.4.4,"1,1.4,1.4.4"
Copia-47_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48B_ATr-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48_ATr-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48_JC-LTR,LINE,N/A,1.4,"1,1.4"
Copia-48_PIT-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48_RC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-48_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_AA-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-49_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATLINE1_2,L1,N/A,1.4.4,"1,1.4,1.4.4"
Copia-49_CCri-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_PX-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_ST-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-49_ZM-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_AT-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_CCO-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATLINE1_7,L1,N/A,1.4.4,"1,1.4,1.4.4"
Copia-4_CP-I__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_CQ-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-4_DMoj-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_DWil-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_EPa-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_FV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_LH-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_MVPL-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATMU1,Mutator,N/A,2.1.1.3,"2,2.1,2.1.1,2.1.1.3"
Copia-4_PGr-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_PPa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_PSH-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_PSt-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_SCH-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-4_SMo-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_TMe-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-4_XT-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
ATMU2,Mutator,N/A,2.1.1.3,"2,2.1,2.1.1,2.1.1.3"
Copia-50_ATr-LTR,L1,N/A,1.4.4,"1,1.4,1.4.4"
Copia-50_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-50_GM-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-50_MLP-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-50_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-50_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-50_ZM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-51_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-51_CCri-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-51_Mad-I__2,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATMU6,Mutator,N/A,2.1.1.3,"2,2.1,2.1.1,2.1.1.3"
Copia-51_PIT-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-51_SB-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-51_ZM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-52_BG-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-52_CCri-LTR,Bel-Pao,N/A,1.1.3,"1,1.1,1.1.3"
Copia-52_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-52_PIT-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-52_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-52_VV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-53_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATMUN1,Mutator,N/A,2.1.1.3,"2,2.1,2.1.1,2.1.1.3"
Copia-53_BRa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-53_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-53_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-53_PX-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-53_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_BRa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_JC-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_MLP-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_PPe-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
ATRE1_I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-54_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-55_AA-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-55_BRa-I,DIRS,N/A,1.2,"1,1.2"
Copia-55_GM-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-55_PIT-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-55_PR-LTR,tRNA,N/A,1.5.1,"1,1.5,1.5.1"
Copia-55_SB-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-55_VV-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-56_ALY-LTR,SubclassI,N/A,2.1,"2,2.1"
ATREP10B,SubclassI,N/A,2.1,"2,2.1"
Copia-56_CCri-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-56_Mad-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-56_PPe-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-56_PX-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-56_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-57_ALY-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-57_BRa-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-57_Mad-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-57_PIT-LTR,SubclassI,N/A,2.1,"2,2.1"
Copia-57_PX-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Academ-3_BF,SubclassI,N/A,2.1,"2,2.1"
ATREP12,SubclassI,N/A,2.1,"2,2.1"
Copia-57_ST-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-58_AA-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-58_BG-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-58_GM-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-58_MLP-LTR,gypsy,N/A,1.1.2,"1,1.1,1.1.2"
Copia-58_PPe-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-58_PX-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-58_VV-I,Copia,N/A,1.1.1,"1,1.1,1.1.1"
Copia-59_AA-LTR,Copia,N/A,1.1.1,"1,1.1,1.1.1"
